APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Mgmt Contact Phone
2014018016,20/01/2015,Single Family,"22933 W SATICOY ST
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,"Ocwen Loan Servicing, LLC",Ivonne Pettegrew,770-612-7007,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2014031023,29/01/2015,Single Family,"7853 N QUIMBY AVE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,CALIBER HOME LOANS,DENA GRIMES,405-945-1400,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2014034051,22/10/2015,Single Family,"7715 N ROYER AVE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
7372015052,02/01/2015,Single Family,"1725 W 247TH ST
LOS ANGELES, CA 90717",LOS ANGELES,CA,90717,15,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,NULL,NULL,         ,NULL
2017027017,01/08/2015,Single Family,"7735 N GRAYSTONE DR
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,US Bank Home Mortgages,Patrick Bradfield,651-312-2411,Connie Renteria /  Five Brothers,Connie Renteria,5228   Halifax RD  Temple City CA 91780 ,626-453-0397
2020011020,09/03/2015,Single Family,"7862 N VALLEY FLORES DR
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,Solutionstar Field Services,Paula Acosta,888-456-0714,"Safeguard Properties, Attn Code Compliance",Code Compliance at Safeguard Properties Code Compliance at Safeguard Properties,7887   Safeguard Cir  Valley View OH 44125 ,800-852-8306
2020014021,13/07/2015,Single Family,"23723 W STAGG ST
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,Select Portfolio Servicing,Code Violations,888-349-8964,Safeguard Properties,Safeguard Properties,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,800-852-8306
2020017042,03/11/2015,Single Family,"23452 W JUSTICE ST
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,BAC HOME LOANS SERVICING,SAFEGUARD COMPLIANCE,800-852-8306,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2020017065,02/07/2015,Single Family,"7932 N MAESTRO AVE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,Shellpoint Mortgage Services,Johan Correa,866-825-2174,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2020021023,17/02/2015,Single Family,"23441 W JONATHAN ST
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,"Ocwen Loan Servicing, LLC",Ivonne Pettegrew,770-612-7007,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2021004022,31/03/2015,Single Family,"23060 W COVELLO ST
LOS ANGELES, CA 91504",LOS ANGELES,CA,91504,12,"Ocwen Loan Servicing, LLC",Ivonne Pettegrew,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2024025028,22/06/2015,Single Family,"6974 N SALT LAKE AVE
LOS ANGELES, CA 91307",LOS ANGELES,CA,91307,12,Nationstar Mortgage,Dawn Campos,888-456-0714,"NEW BEGINNING PROPERTIES, INC",JOSE CHAVEZ,445  W 34th ST  San Bernardino CA 92405 ,877-339-8202
2027001049,08/05/2015,Single Family,"7710 N ATRON AVE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,"Ocwen Loan Servicing, LLC",Ivonne Pettegrew,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2027038009,11/09/2015,Single Family,"24125 W CLARINGTON DR
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,Financial Freedom,Daniel Stack,800-441-4428,Carlos Sims,Carlos Sims,11820   Cherrylee DR  El Monte CA 91732 ,866-966-0789
2027038024,29/01/2015,Single Family,"7624 N ATHERTON LANE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,Shellpoint Mortgage Services,Johan Correa,866-825-2174,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2027046001,28/01/2015,Single Family,"24024 W HILLHURST DR
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2033023029,15/05/2015,Single Family,"23907 W SYLVAN ST
LOS ANGELES, CA 91367",LOS ANGELES,CA,91367,3,"Ocwen Loan Servicing, LLC",Ivonne Pettegrew,800-746-2936,Homeland Property Preservation And Inspection,Giwa Olatunji,859  N Fair Oaks AVE 305 PASADENA CA 91103 ,626-380-6275
2039019023,17/11/2015,Single Family,"22730 W SYLVAN ST
LOS ANGELES, CA 91367",LOS ANGELES,CA,91367,3,Champion Mortgage Company c/o BDF Law,Code Compliance,813-387-1100,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2039020016,11/06/2015,Single Family,"22713 W SYLVAN ST
LOS ANGELES, CA 91367",LOS ANGELES,CA,91367,3,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816
2076013020,15/12/2015,Single Family,"22711 W MULHOLLAND DR
LOS ANGELES, CA 91364",LOS ANGELES,CA,91364,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2109005026,02/10/2015,Single Family,"8124 N LOMA VERDE AVE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,3,BAC HOME LOANS SERVICING,SAFEGUARD COMPLIANCE,800-852-8306,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2109013017,08/12/2015,Single Family,"20947 W HEMMINGWAY ST
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,3,SETERUS INC,Preservation Compliance,866-570-5277,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2109018006,14/01/2015,Single Family,"21025 W STAGG ST
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,3,Specialized Loan Servicing as Servicing Agent for Beneficiary,Hunter Robinson,877-367-0512,Eddy Leon,Eddy Leon,1650   Ximeno AVE 90804 Long Beach CA 90804 ,866-627-2256
2109029019,18/08/2015,Single Family,"7743 N MILWOOD AVE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,3,Solutionstar Field Services,Paula Acosta,888-456-0714,"Cyprexx Services, LLC",Property Registrations,525   Grand Regency BLVD  Brandon FL 33510 ,877-339-8202
2110008020,21/05/2015,Single Family,"21831 W ARMINTA ST
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,3,"Ocwen Loan Servicing, LLC",Ivonne Pettegrew,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2110011033,04/02/2015,Single Family,"7904 N TOPANGA CANYON BLVD
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,3,"Ocwen Loan Servicing, LLC",Ivonne Pettegrew,770-612-7007,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2110013108,04/09/2015,Single Family,"7730 N TOPANGA CANYON BLVD
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,3,Caliber Home Loans,Kandyce Hughes,214-874-4174,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2114018076,05/01/2015,Single Family,"20134 W LEADWELL
LOS ANGELES, CA 91306",LOS ANGELES,CA,91306,3,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2114018099,20/05/2015,Single Family,"20134 W LEADWELL
LOS ANGELES, CA 91306",LOS ANGELES,CA,91306,3,Green Tree,Jeremy Iverson,480-383-0648,Connie Renteria /  Five Brothers,Connie Renteria,5228   Halifax RD  Temple City CA 91780 ,626-453-0397
2114018119,08/01/2015,Single Family,"20134 W LEADWELL
LOS ANGELES, CA 91306",LOS ANGELES,CA,91306,3,Selene Finance,Amy West,713-587-9723,Bron Inc,Eric Moore,41951   Remington AVE 150 Temecula CA 92590 ,951-970-3899
2114018132,08/10/2015,Single Family,"20134 W LEADWELL
LOS ANGELES, CA 91306",LOS ANGELES,CA,91306,3,Trustee Corps,Ann Lewis,856-917-3308,Bron Inc,Eric Moore,41951   Remington AVE 150 Temecula CA 92590 ,951-970-3899
2114018139,14/01/2015,Single Family,"20134 W LEADWELL
LOS ANGELES, CA 91306",LOS ANGELES,CA,91306,3,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2128003128,02/06/2015,Single Family,"6541 N WYSTONE
LOS ANGELES, CA 91335",LOS ANGELES,CA,91335,3,CitiMortgage,Erin Theobald,877-290-3997,Safeguard Properties,Safeguard Properties,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,800-852-8306
2139012026,16/01/2015,Single Family,"22314 W HAYNES ST
LOS ANGELES, CA 91307",LOS ANGELES,CA,91307,3,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,NULL,NULL,         ,NULL
2153034059,18/11/2015,Single Family,"19323 W LAVY CT
LOS ANGELES, CA 91356",LOS ANGELES,CA,91356,3,"Danco, Inc.",Ronald Perlstein,310-842-8235,NULL,NULL,         ,NULL
2161018035,16/01/2015,Single Family,"5230 N RESEDA BLVD
LOS ANGELES, CA 91335",LOS ANGELES,CA,91335,3,Nationstar Mortgage,Dawn Campos,888-456-0714,"NEW BEGINNING PROPERTIES, INC",JOSE CHAVEZ,445  W 34th ST  San Bernardino CA 92405 ,877-339-8202
2162001066,06/01/2015,Single Family,"5440 LINDLEY
LOS ANGELES, CA 92646",LOS ANGELES,CA,92646,5,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2166013137,06/01/2015,Single Family,"5220 N WEST HILLS DR
LOS ANGELES, CA 91364",LOS ANGELES,CA,91364,3,Deutsche Bank c/o Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Safeguard Properties,Safeguard Properties,7887   Safeguard   Valley View OH 44125 ,877-340-0060
2171022062,08/01/2015,Single Family,"4754 N TOPANGA CANYON BLVD
LOS ANGELES, CA 91364",LOS ANGELES,CA,91364,3,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2171022067,05/02/2015,Multi-Family,"4780 N TOPANGA CANYON BLVD
LOS ANGELES, CA 91364",LOS ANGELES,CA,91364,3,"Ocwen Loan Servicing, LLC",Ivonne Pettegrew,770-612-7007,PPS,Trevethan Aaron,30011   Ivy Glenn DR 224 Laguna Niguel CA 92677 ,949-612-0342
2172018022,30/01/2015,Single Family,"21091 W ALHAMA DR
LOS ANGELES, CA 91364",LOS ANGELES,CA,91364,3,Nationstar Mortgage LLC,NSTAR CLIENT,469-549-2178,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2173002025,30/01/2015,Single Family,"4548 N TOPANGA CANYON BLVD
LOS ANGELES, CA 91364",LOS ANGELES,CA,91364,3,Nationstar Mortgage LLC,NSTAR CLIENT,469-549-2178,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2173002027,27/02/2015,Single Family,"4516 N TOPANGA CANYON BLVD
LOS ANGELES, CA 91364",LOS ANGELES,CA,91364,3,Platinum Loan Servicing,Karen Larson,818-222-5222,COLDWELL BANKER,JOYCE ESSEX,301  N Canon DR E Beverly HIlls CA 90210 ,310-777-6375
2173002033,28/09/2015,Single Family,"4348 N TOPANGA CANYON BLVD
LOS ANGELES, CA 91364",LOS ANGELES,CA,91364,3,Select Portfolio Servicing,Code Violations,888-349-8964,Safeguard Properties,Safeguard Properties,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,800-852-8306
2190001023,16/01/2015,Single Family,"21627 W MULHOLLAND DR
LOS ANGELES, CA 91364",LOS ANGELES,CA,91364,3,Nationstar Mortgage,Dawn Campos,888-456-0714,"Cyprexx Services, LLC.",Property Registrations Property Registrations,525   Grand Regency BLVD  Brandon FL 33510 ,877-339-8202
2190002016,06/01/2015,Single Family,"21535 W MULHOLLAND DR
LOS ANGELES, CA 91364",LOS ANGELES,CA,91364,3,WELLS FARGO BANK C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125 ,877-340-0060
2235016022,09/01/2015,Single Family,"14922 W KITTRIDGE ST
LOS ANGELES, CA 91411",LOS ANGELES,CA,91411,6,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2236012003,30/01/2015,Multi-Family,"14610 W KITTRIDGE ST
VAN NUYS, CA 91411",VAN NUYS,CA,91411,6,Caliber Home Loans,Kandyce Hughes,214-874-4174,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2257019115,14/01/2015,Single Family,"5460 WHITE OAK
LOS ANGELES, CA 91436",LOS ANGELES,CA,91436,5,NationStar,Paula Acosta,972-315-8837,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2257019116,12/06/2015,Single Family,"5460 WHITE OAK
LOS ANGELES, CA 91436",LOS ANGELES,CA,91436,5,"Ocwen Loan Servicing, LLC",Ivonne Pettegrew,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2257019170,27/01/2015,Single Family,"5460 WHITE OAK
LOS ANGELES, CA 91436",LOS ANGELES,CA,91436,5,Green Tree,Jeremy Iverson,480-383-0648,Connie Renteria /  Five Brothers,Connie Renteria,5228   Halifax RD  Temple City CA 91780 ,626-453-0397
2257019194,07/04/2015,Single Family,"5460 WHITE OAK
LOS ANGELES, CA 91436",LOS ANGELES,CA,91436,5,Nationstar Mortgage LLC,NSTAR CLIENT,469-549-2178,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2257020035,30/01/2015,Single Family,"5460 WHITE OAK
LOS ANGELES, CA 91436",LOS ANGELES,CA,91436,5,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2257020055,04/05/2015,Single Family,"5460 WHITE OAK
LOS ANGELES, CA 91436",LOS ANGELES,CA,91436,5,Bank of America,VPR Department,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2257020102,28/01/2015,Single Family,"5460 WHITE OAK
LOS ANGELES, CA 91436",LOS ANGELES,CA,91436,5,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2257020129,26/01/2015,Single Family,"5460 WHITE OAK
LOS ANGELES, CA 91436",LOS ANGELES,CA,91436,5,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2257020148,17/07/2015,Single Family,"5460 WHITE OAK
LOS ANGELES, CA 91436",LOS ANGELES,CA,91436,5,Green Tree,Jeremy Iverson,480-383-0648,Connie Renteria /  Five Brothers,Connie Renteria,5228   Halifax RD  Temple City CA 91780 ,626-453-0397
2260017041,07/01/2015,Single Family,"5184 N MAGNOLIA BLVD
LOS ANGELES, CA 91436",LOS ANGELES,CA,91436,5,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2261036035,09/01/2015,Single Family,"15473 W LA MAIDA ST
LOS ANGELES, CA 91403",LOS ANGELES,CA,91403,5,NationStar,Paula Acosta,972-315-8837,"Mortgage Contracting Services, Inc.","Mortgage Contracting Services, Inc.",6504   International Pkwy 1500 Plano TX 75093 ,813-387-1100
2272029007,30/07/2015,Single Family,"13745 1/2 N SEVY LANE
LOS ANGELES, CA 91423",LOS ANGELES,CA,91423,4,Green Tree,Jeremy Iverson,480-383-0648,Connie Renteria /  Five Brothers,Connie Renteria,5228   Halifax RD  Temple City CA 91780 ,626-453-0397
2274018002,06/01/2015,Single Family,"14242 W MILLBROOK DR
LOS ANGELES, CA 91423",LOS ANGELES,CA,91423,4,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Services,Property Registration Department Property Registration Department,101  W Louis Henna Blvd 400 Austin TX 78728 ,800-468-1743
2275030004,07/01/2015,Single Family,"3731 N BEVERLY GLEN BLVD
LOS ANGELES, CA 91423",LOS ANGELES,CA,91423,4,U.S. Bank National Association c/o Select Portfolio Servicing,NA NA,888-349-8694,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125 ,877-340-0060
2281005003,14/01/2015,Single Family,"4346 N SEPULVEDA BLVD
LOS ANGELES, CA 91403",LOS ANGELES,CA,91403,4,Nationstar Mortgage,Dawn Campos,888-456-0714,"NEW BEGINNING PROPERTIES, INC",JOSE CHAVEZ,445  W 34th ST  San Bernardino CA 92405 ,877-339-8202
2301019006,17/12/2015,Single Family,"13348 W WILLARD ST
LOS ANGELES, CA 91605",LOS ANGELES,CA,91605,6,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816
2301019008,08/01/2015,Single Family,"13340 W WILLARD ST
LOS ANGELES, CA 91605",LOS ANGELES,CA,91605,6,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2310016041,11/03/2015,Single Family,"7905 N AGNES AVE
LOS ANGELES, CA 99999",LOS ANGELES,CA,99999,6,Specialized Loan Servicing as Servicing Agent for Beneficiary,Hunter Robinson,877-367-0512,Eddy Leon,Eddy Leon,1650   Ximeno AVE 90804 Long Beach CA 90804 ,866-627-2256
2412031142,15/01/2015,Single Family,"6716 N CLYBOURN AVE
LOS ANGELES, CA 91606",LOS ANGELES,CA,91606,2,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Services,Property Registration Department,101  W Louis Henna Blvd 400 Austin TX 78728 ,512-833-8101
2412031174,29/01/2015,Single Family,"6716 N CLYBOURN AVE
LOS ANGELES, CA 91606",LOS ANGELES,CA,91606,2,PHH MORTGAGE CORPORATION,MICHELE STEWARDS,800-257-0460,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2412033044,09/01/2015,Single Family,"6642 N CLYBOURN AVE
LOS ANGELES, CA 91606",LOS ANGELES,CA,91606,2,"Ocwen Loan Servicing, LLC",Ivonne Pettegrew,770-612-7007,PPS,Trevethan Aaron,30011   Ivy Glenn DR 224 Laguna Niguel CA 92677 ,949-612-0342
2414034013,13/04/2015,Single Family,"6510 N CLYBOURN AVE
LOS ANGELES, CA 91606",LOS ANGELES,CA,91606,2,"Ocwen Loan Servicing, LLC",Ivonne Pettegrew,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656 ,949-625-4480
2420006009,01/07/2015,Single Family,"4849 N LEDGE AVE
LOS ANGELES, CA 91601",LOS ANGELES,CA,91601,4,"Trojan Capital Investment, LLC",Thanh Vo,877-684-9517,Trojan Capital Investments,Thanh Vo,2681   San Miguel Drive  316 Newport Beach CA 92660 ,877-684-9517
2501003030,14/01/2015,Single Family,"13382 N LOS OLIVOS ST
LOS ANGELES, CA 91342",LOS ANGELES,CA,91342,7,Nationstar Mortgage,Dawn Campos,888-456-0714,"NEW BEGINNING PROPERTIES, INC",JOSE CHAVEZ,445  W 34th ST  San Bernardino CA 92405 ,877-339-8202
